category,sample_idx,layer_idx,max_attn_idx
10,0,0,0-1-0-0-0-0-0-0-0-0-0-0-12-12-12-2-15-15-15-15-15-15-15-15-15-15-15
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-1-0-2-13-13-13-13-13-13-13-13-13-13-1
10,0,0,0-0-0-0-0-0-0-0-0-0-0-0-12-12-12-2-15-15-15-15-15-15-15-15-15-15-26
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-0-0-13-2-13-13-13-13-13-13-13-13-13-13-2
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-12-13-13-2-14-14-14-14-14-14-14-14-14-14-2
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-0-1-0-2-12-12-12-12-12-12-12-12-12-12-14
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-1-1-2-1-1-1-1-1-1-1-1-1-1-1
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-0-13-14-2-1-1-1-1-1-1-1-1-1-1-26
10,0,0,0-0-0-0-0-0-0-0-0-0-0-0-12-13-13-2-0-0-0-0-0-0-0-0-0-0-12
10,0,0,0-0-2-2-2-2-2-2-2-2-2-2-0-12-1-2-12-12-12-12-12-12-12-12-12-12-26
10,0,0,0-1-1-1-1-1-1-1-1-1-1-1-12-13-14-2-1-1-1-1-1-1-1-1-1-1-26
10,0,0,0-0-1-1-1-1-1-1-1-1-1-1-1-12-13-2-14-14-14-14-14-14-14-14-14-14-2
10,0,1,0-0-2-3-3-5-6-7-8-8-8-8-12-11-14-15-15-13-13-15-15-15-15-13-13-13-15
10,0,1,0-1-2-2-3-3-3-2-2-2-8-8-12-0-1-8-12-12-12-12-12-12-12-12-12-12-13
10,0,1,0-0-1-1-1-1-1-1-1-1-1-1-2-1-13-5-1-1-1-1-1-1-1-1-1-1-13
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-11-13-13-15-13-13-13-13-13-13-13-13-13-13-13
10,0,1,0-0-2-3-4-5-6-7-8-8-8-8-12-12-13-11-15-15-15-15-15-15-15-15-15-15-15
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-0-13-13-15-12-12-12-12-12-12-12-12-12-12-13
10,0,1,0-0-0-0-0-0-0-0-0-0-0-0-12-1-1-11-14-14-14-14-14-14-14-14-14-14-14
10,0,1,0-0-2-3-3-3-3-3-3-3-2-2-4-3-14-2-14-14-14-14-14-14-14-14-14-14-13
10,0,1,0-1-2-2-2-2-2-7-7-7-7-7-2-12-1-8-13-13-13-13-13-13-13-13-13-13-13
10,0,1,0-0-0-0-4-5-6-7-8-8-9-9-12-12-1-2-14-14-14-14-14-14-14-14-14-14-12
10,0,1,0-0-2-2-2-2-2-7-8-8-8-8-12-13-13-13-13-13-13-13-13-13-13-13-13-13-12
10,0,1,0-0-2-2-2-2-2-2-2-2-2-2-1-12-14-12-12-12-12-12-12-12-12-12-12-12-13
10,0,2,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-0-0-0
10,0,2,0-0-2-2-2-5-6-7-8-8-8-8-11-7-13-12-12-12-12-12-12-12-12-12-12-12-12
10,0,2,0-0-2-2-2-2-6-7-8-8-8-8-12-12-14-12-12-12-12-12-12-12-12-12-12-12-1
10,0,2,0-0-0-0-0-0-0-0-0-0-0-0-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12
10,0,2,0-1-2-2-2-2-2-7-8-9-10-11-0-13-1-15-13-13-13-13-13-13-13-13-13-13-14
10,0,2,0-0-2-3-4-5-6-7-8-8-8-8-12-12-1-13-13-13-13-13-13-13-13-13-13-13-15
10,0,2,0-0-2-3-4-5-6-6-6-9-10-11-11-11-11-15-15-15-15-15-15-15-15-15-15-15-15
10,0,2,0-0-2-2-2-2-2-2-2-2-2-2-12-1-1-2-16-17-18-18-18-18-18-18-18-18-1
10,0,2,0-0-2-3-4-4-1-7-8-1-1-1-12-13-1-2-13-13-13-13-13-13-13-13-13-13-13
10,0,2,0-0-2-2-2-2-2-2-2-2-2-0-12-0-14-13-13-13-13-13-13-13-13-13-13-13-1
10,0,2,0-1-2-2-2-2-2-2-2-2-2-2-0-0-0-2-14-14-14-14-14-14-14-14-14-14-2
10,0,2,0-1-2-0-0-0-0-0-0-0-0-0-12-12-1-14-0-0-0-0-0-0-0-0-0-0-12
10,0,3,0-0-1-3-4-5-5-7-8-9-10-10-12-12-1-13-13-13-13-13-13-13-13-13-13-13-13
10,0,3,0-0-2-2-2-2-2-2-2-2-2-2-12-12-12-2-2-2-2-2-2-2-2-2-2-2-1
10,0,3,0-1-2-3-4-5-6-7-7-7-8-8-12-1-1-15-12-12-12-12-12-12-12-12-12-12-15
10,0,3,0-1-2-2-2-2-2-2-2-2-2-0-0-0-0-0-13-13-13-13-13-13-13-13-13-13-0
10,0,3,0-0-2-3-4-5-0-0-0-0-0-0-1-1-1-12-1-1-1-1-1-1-1-1-1-1-1
10,0,3,0-0-2-2-0-0-0-0-0-0-0-0-1-1-14-0-1-1-1-14-14-0-0-1-1-14-14
10,0,3,0-0-2-2-2-2-2-2-2-2-2-2-12-13-13-2-0-0-0-13-13-0-0-0-0-13-1
10,0,3,0-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1-1
10,0,3,0-0-2-3-4-5-6-7-8-9-10-11-12-8-14-12-12-12-12-12-12-12-12-12-12-12-1
10,0,3,0-0-2-3-4-5-6-7-8-9-10-11-12-12-0-15-12-12-12-12-13-13-12-12-13-13-0
10,0,3,0-1-1-1-1-1-1-1-1-1-1-1-12-13-1-12-12-12-12-12-12-12-12-12-12-12-12
10,0,3,0-1-2-3-4-5-6-7-8-8-8-8-12-12-12-12-12-12-12-12-12-12-12-12-12-15-12
10,0,4,0-0-2-2-2-2-2-2-2-2-2-2-12-12-14-15-14-14-14-14-14-14-14-14-14-14-14
10,0,4,0-0-0-0-0-0-0-0-0-0-0-0-12-1-12-12-13-13-13-13-13-13-13-13-13-13-13
10,0,4,0-0-2-3-4-5-5-5-5-9-10-11-11-1-1-11-15-15-18-18-18-21-21-21-21-21-21
10,0,4,0-0-2-3-3-3-3-7-8-8-8-8-4-4-4-11-16-17-18-19-19-18-18-23-24-25-19
10,0,4,0-0-0-3-4-4-4-4-4-4-4-4-4-3-4-5-4-4-4-4-4-4-4-4-4-4-4
10,0,4,0-1-2-3-4-5-6-6-6-9-10-11-11-11-1-14-14-14-14-14-14-14-14-14-14-1-1
10,0,4,0-1-2-3-3-5-6-6-6-6-6-6-9-11-11-2-2-1-1-3-3-2-1-1-1-1-3
10,0,4,0-1-2-2-2-2-2-2-2-2-2-2-0-0-0-2-1-1-1-1-1-1-1-1-1-1-1
10,0,4,0-0-2-2-2-2-2-2-2-2-2-2-1-13-13-15-0-0-0-0-1-0-0-0-0-0-1
10,0,4,0-1-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-2-1-1-1-2-2-2-1-1
10,0,4,0-0-2-3-4-5-6-7-8-9-10-11-0-13-13-9-12-12-12-12-12-12-12-12-12-12-12
10,0,4,0-1-2-2-2-5-2-2-2-2-2-2-12-13-14-2-2-2-2-2-2-1-1-1-1-2-2
10,0,5,0-0-2-3-4-5-6-6-6-9-10-11-11-11-10-11-11-11-18-19-20-19-19-23-24-25-25
10,0,5,0-1-2-3-4-5-6-7-8-9-9-9-12-6-12-12-12-12-12-12-12-12-12-12-12-12-12
10,0,5,0-0-2-3-3-3-3-3-3-3-3-3-0-0-0-4-4-5-5-4-4-4-20-20-20-4-26
10,0,5,0-0-2-2-2-2-2-7-8-8-8-8-1-1-1-2-2-2-2-2-2-2-2-2-2-2-2
10,0,5,0-1-2-3-4-5-6-6-6-6-10-11-12-13-13-4-5-5-4-4-4-4-4-4-4-4-15
10,0,5,0-0-2-3-4-5-6-7-8-8-8-11-0-0-12-11-12-12-12-12-15-12-12-12-12-15-0
10,0,5,0-1-1-1-1-1-1-1-1-1-1-1-1-13-13-13-13-13-13-13-13-13-13-13-13-13-13
10,0,5,0-0-2-3-3-0-0-0-0-0-0-0-8-2-1-12-0-0-0-15-12-0-0-0-0-12-13
10,0,5,0-1-2-3-4-5-6-6-8-9-10-11-12-12-14-14-14-14-14-14-14-14-14-14-14-14-14
10,0,5,0-0-2-2-2-2-2-2-2-2-2-2-1-1-1-15-12-12-12-12-12-12-12-12-12-12-12
10,0,5,0-0-2-2-2-2-2-2-2-2-2-2-2-13-13-13-13-13-13-13-14-13-13-13-13-14-14
10,0,5,0-0-2-3-4-5-6-6-6-9-10-11-12-12-13-11-13-13-13-13-13-13-13-13-13-13-13
10,0,6,0-1-2-3-3-3-3-4-4-4-3-3-1-4-0-4-2-2-2-19-20-20-20-20-20-20-20
10,0,6,0-1-2-2-2-2-6-7-8-8-8-8-12-1-1-12-12-12-12-12-12-12-12-12-12-1-1
10,0,6,0-1-2-2-2-2-2-2-2-2-2-2-12-2-4-14-16-16-18-14-14-20-20-20-20-14-14
10,0,6,0-1-2-3-4-5-5-5-5-5-5-5-4-3-1-5-5-5-5-5-5-5-5-5-5-14-14
10,0,6,0-1-2-3-2-2-2-2-2-2-2-2-0-0-0-0-0-0-0-12-12-0-0-12-12-12-12
10,0,6,0-1-2-3-4-5-6-7-8-8-8-8-12-12-3-9-3-3-2-2-2-2-2-2-2-2-2
10,0,6,0-1-2-2-2-2-2-2-2-2-2-2-12-13-12-12-2-2-2-2-2-2-2-2-2-2-2
10,0,6,0-1-2-3-3-3-3-3-3-3-3-3-12-13-13-13-0-0-0-0-0-0-0-0-0-0-4
10,0,6,0-0-2-3-2-2-2-2-3-2-2-2-4-4-1-2-2-2-2-2-2-2-2-2-2-2-2
10,0,6,0-1-2-3-4-5-6-6-5-5-10-11-11-11-10-12-16-16-16-16-16-16-16-16-16-16-16
10,0,6,0-1-2-3-3-3-6-7-8-9-10-10-12-13-1-15-13-13-13-13-13-13-13-13-13-0-1
10,0,6,0-1-2-3-4-5-6-7-7-7-7-6-11-11-11-5-16-17-18-19-19-19-19-19-19-19-26
10,0,7,0-1-2-3-4-5-6-6-6-9-10-11-11-1-1-11-11-11-11-11-11-11-11-11-11-11-11
10,0,7,0-1-2-3-4-5-6-7-8-9-9-9-7-6-0-14-14-14-14-14-14-14-14-14-14-14-1
10,0,7,0-1-2-3-4-5-6-6-6-6-10-11-12-1-12-11-11-17-18-19-20-20-20-20-20-25-25
10,0,7,0-1-2-3-4-5-6-7-8-9-9-11-12-12-12-12-12-12-12-12-12-12-13-13-13-13-12
10,0,7,0-0-2-3-3-3-3-3-8-9-9-9-12-8-5-15-15-15-15-15-15-15-15-15-15-4-5
10,0,7,0-1-2-2-2-5-6-7-7-7-7-7-5-5-5-7-7-7-7-7-7-7-7-7-7-11-7
10,0,7,0-0-2-3-4-5-6-7-7-7-7-7-12-12-12-11-9-9-9-9-9-9-9-9-9-12-12
10,0,7,0-1-2-2-2-2-2-7-8-8-8-8-12-12-12-9-16-17-18-19-19-20-20-20-24-25-12
10,0,7,0-0-2-3-4-5-5-5-5-9-10-11-3-1-0-4-4-4-4-4-13-4-4-4-4-13-1
10,0,7,0-1-2-2-2-2-2-2-2-2-2-2-1-0-14-3-1-1-14-14-14-1-1-1-14-14-14
10,0,7,0-1-2-2-2-2-2-2-2-2-2-2-8-8-8-7-2-2-2-2-2-2-2-2-2-1-1
10,0,7,0-0-2-3-3-3-3-3-3-3-3-3-2-2-1-3-2-2-2-2-2-2-2-2-2-2-2
10,0,8,0-1-2-3-4-5-6-7-7-7-7-7-11-8-11-8-7-7-7-11-19-7-7-7-19-25-26
10,0,8,0-0-2-2-2-2-6-7-8-8-8-8-12-13-14-8-13-13-13-13-13-13-13-13-13-25-26
10,0,8,0-1-1-1-1-1-1-1-1-1-1-1-9-10-9-9-10-10-10-11-11-11-10-11-11-25-26
10,0,8,0-1-2-3-3-3-3-3-8-9-10-10-11-8-11-14-14-14-14-13-13-13-14-14-14-20-2
10,0,8,0-1-2-3-4-5-6-6-6-6-6-2-11-11-11-11-11-11-11-11-2-11-11-11-2-1-1
10,0,8,0-1-2-3-3-5-6-7-7-7-7-7-2-2-14-11-14-14-14-14-14-14-14-14-14-14-14
10,0,8,0-0-2-3-4-5-6-7-8-8-8-8-12-8-13-12-13-13-13-13-13-13-13-13-13-13-13
10,0,8,0-0-2-3-4-4-4-4-4-4-4-4-11-13-14-15-11-11-11-16-17-4-11-11-24-25-26
10,0,8,0-0-2-3-4-5-6-6-6-6-6-11-11-11-11-14-11-11-11-15-15-11-11-15-14-13-13
10,0,8,0-1-2-3-4-5-6-7-8-9-10-11-5-4-0-11-11-11-11-11-11-11-11-11-24-24-26
10,0,8,0-0-2-3-4-5-5-5-5-9-10-11-2-0-14-11-5-5-5-11-11-5-5-5-11-25-26
10,0,8,0-1-2-2-1-1-1-1-1-1-1-1-11-13-11-15-12-12-12-12-12-12-12-12-1-1-1
10,0,9,0-0-2-3-4-4-4-4-4-4-4-4-3-3-4-9-9-9-9-4-4-9-9-9-12-0-1
10,0,9,0-0-2-3-4-5-6-7-8-9-10-11-11-11-11-12-12-12-12-12-12-12-12-12-12-25-26
10,0,9,0-0-2-2-2-0-0-0-0-0-0-0-2-2-12-12-12-12-12-14-14-12-12-12-14-14-13
10,0,9,0-0-2-3-3-5-6-7-7-9-10-11-11-13-14-15-12-11-11-11-11-11-11-11-11-15-1
10,0,9,0-0-2-2-2-2-2-2-2-2-2-2-8-11-11-12-12-12-12-12-12-12-12-12-12-1-1
10,0,9,0-0-2-2-2-2-2-2-2-2-2-2-2-13-13-2-2-2-2-2-2-2-2-2-2-1-1
10,0,9,0-1-2-3-4-4-4-4-3-4-4-4-4-0-0-11-3-3-1-1-1-1-1-1-1-25-26
10,0,9,0-1-2-3-4-5-6-7-8-7-10-11-12-12-12-15-12-12-12-12-12-12-12-12-12-0-0
10,0,9,0-0-2-2-2-2-6-6-6-6-6-6-11-12-12-6-6-6-6-6-6-6-6-6-6-25-26
10,0,9,0-1-2-3-2-2-2-1-1-1-1-1-2-1-1-2-1-1-1-1-1-1-1-1-1-25-26
10,0,9,0-0-2-2-2-2-2-2-2-0-0-0-4-4-4-5-2-2-2-0-0-0-0-0-0-14-14
10,0,9,0-0-2-3-4-5-6-7-8-9-10-11-11-11-8-11-8-8-8-8-8-8-8-8-8-8-0
10,0,10,0-1-2-3-4-5-6-7-8-9-9-11-12-2-2-12-11-11-11-11-11-11-11-11-12-12-12
10,0,10,0-1-2-3-4-5-6-7-8-9-10-11-3-1-2-11-5-5-5-8-8-5-5-6-8-13-13
10,0,10,0-0-2-3-4-5-5-5-5-5-5-5-7-13-5-11-1-5-5-1-1-1-1-1-1-1-1
10,0,10,0-0-2-2-2-2-2-2-2-2-0-0-6-7-2-2-2-2-2-0-0-2-2-2-2-25-25
10,0,10,0-0-1-1-1-1-1-1-1-1-1-1-12-4-4-2-2-2-2-2-2-2-2-2-2-2-14
10,0,10,0-0-2-2-2-2-2-2-2-2-2-2-5-4-2-2-2-2-2-2-2-2-2-2-2-25-26
10,0,10,0-0-0-0-0-0-0-0-0-0-0-0-0-2-0-2-2-2-0-0-0-0-0-0-0-0-13
10,0,10,0-0-2-3-4-5-6-7-8-9-10-11-11-11-12-11-12-12-12-12-12-12-12-12-12-25-26
10,0,10,0-0-2-3-4-5-6-7-8-9-10-11-11-0-5-12-7-7-13-12-12-13-13-13-12-25-26
10,0,10,0-1-2-3-4-5-6-6-6-9-10-11-9-12-12-9-2-2-2-10-11-2-2-2-11-25-26
10,0,10,0-1-0-0-0-2-2-2-0-0-2-2-12-11-14-11-0-0-0-0-0-0-0-0-0-1-1
10,0,10,0-0-2-3-4-4-4-4-4-4-4-4-11-11-2-11-3-3-2-2-2-3-3-2-2-0-0
10,0,11,0-0-2-2-2-2-6-6-6-6-6-6-1-1-0-11-6-6-6-7-6-6-6-7-7-25-26
10,0,11,0-1-2-1-1-1-1-1-1-1-1-1-2-2-2-15-1-2-2-2-2-1-1-2-1-25-26
10,0,11,0-0-2-2-2-2-2-2-2-2-2-2-9-9-9-7-3-3-7-8-8-7-7-7-7-13-12
10,0,11,0-0-1-1-1-1-1-1-1-1-1-1-12-10-11-13-13-13-13-13-13-13-13-13-13-25-26
10,0,11,0-1-2-3-4-5-6-7-8-8-8-8-0-2-2-8-2-2-2-2-2-2-2-2-2-25-26
10,0,11,0-1-2-3-4-5-6-6-8-9-10-0-2-2-2-9-2-2-2-2-2-2-2-2-2-14-13
10,0,11,0-1-2-3-4-4-4-4-4-1-1-1-12-4-5-12-2-2-2-2-3-2-3-3-24-25-26
10,0,11,0-1-2-2-2-2-2-2-2-2-2-2-8-8-2-11-2-2-2-2-2-2-2-2-2-25-26
10,0,11,0-0-2-2-4-5-6-7-8-9-10-11-12-12-0-15-2-2-2-11-11-2-2-2-11-25-26
10,0,11,0-1-2-3-4-5-6-7-8-9-10-11-7-7-2-15-7-7-6-6-6-6-6-6-6-25-26
10,0,11,0-1-1-1-1-1-1-1-1-1-1-1-2-2-2-2-2-1-1-1-1-1-1-1-1-25-26
10,0,11,0-0-2-2-2-2-2-0-0-2-2-0-6-1-11-11-2-2-4-5-4-2-2-4-4-12-12
10,1,0,0-1-0-0-0-0-0-0-0-0-0-0-12-12-12-2-0-0-0-0-0-0-0-0-0-0-15
10,1,0,0-0-2-2-2-2-2-2-2-2-2-2-1-1-0-2-13-13-13-13-13-13-13-13-13-13-1
10,1,0,0-0-2-2-2-2-2-2-2-2-2-2-12-12-12-2-2-2-2-2-2-2-2-2-2-2-26
10,1,0,0-0-2-2-2-2-2-2-2-2-2-2-0-0-13-2-12-12-12-12-12-12-12-12-12-12-2
10,1,0,0-0-1-1-1-1-1-1-1-1-1-1-12-13-13-2-1-1-1-1-1-1-1-1-1-1-0
10,1,0,0-1-0-0-0-0-0-0-0-0-0-0-0-1-0-2-14-14-14-14-14-14-14-14-14-14-14
10,1,0,0-0-1-1-1-1-1-1-1-1-1-1-1-1-1-2-13-13-13-13-13-13-13-13-13-13-1
10,1,0,0-1-2-2-2-2-2-2-2-2-2-2-0-13-14-2-2-2-2-2-2-2-2-2-2-2-26
10,1,0,0-0-0-0-0-0-0-0-0-0-0-0-2-13-13-2-0-0-0-0-0-0-0-0-0-0-12
10,1,0,0-0-2-2-2-2-2-2-2-2-2-2-0-12-1-2-12-12-12-12-12-12-12-12-12-12-26
10,1,0,0-1-1-1-1-1-1-1-1-1-1-1-12-13-14-2-15-15-15-15-15-15-15-15-15-15-26
10,1,0,0-0-2-2-2-2-2-2-2-2-2-2-1-12-13-2-15-15-15-15-15-15-15-15-15-15-14
10,1,1,0-0-2-0-0-0-0-0-0-0-0-0-0-13-14-12-13-13-13-13-13-13-13-13-13-13-2
10,1,1,0-1-1-1-1-1-1-1-1-1-1-1-12-0-1-2-13-13-13-13-13-13-13-13-13-13-13
10,1,1,0-0-1-1-1-1-1-1-1-1-1-1-0-1-13-1-1-1-1-1-1-1-1-1-1-1-13
10,1,1,0-0-2-2-2-2-2-2-2-2-2-2-11-13-13-15-13-13-13-13-14-14-13-13-13-14-13
10,1,1,0-0-2-3-4-4-4-7-8-9-9-9-12-12-13-10-15-15-15-15-15-15-15-15-15-15-15
10,1,1,0-0-2-2-2-5-6-7-8-9-9-9-0-13-13-15-13-13-13-13-13-13-13-13-13-13-13
10,1,1,0-0-2-2-1-5-6-6-6-6-6-6-7-1-1-11-13-13-13-13-13-13-13-13-13-13-14
10,1,1,0-0-2-2-2-5-6-7-7-7-7-7-4-1-14-6-14-14-14-14-14-14-14-14-14-14-13
10,1,1,0-1-0-0-0-0-0-0-0-0-0-0-1-12-1-4-12-12-12-12-12-12-12-12-12-12-13
10,1,1,0-0-2-3-4-5-6-6-6-6-10-11-11-12-1-11-13-13-13-13-13-13-13-13-15-15-14
10,1,1,0-0-2-2-2-0-0-0-0-0-0-0-12-13-13-14-14-14-14-14-14-14-14-14-14-14-14
10,1,1,0-0-2-2-2-2-2-2-2-2-2-2-1-1-14-12-12-12-12-12-12-12-12-12-12-12-13
10,1,2,0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-12-0-0-0-0-0-0-0-0-0-0-0
10,1,2,0-0-2-2-2-2-2-2-2-2-2-2-2-9-13-2-12-12-12-12-12-12-12-12-12-12-12
10,1,2,0-0-2-2-2-2-6-7-8-8-8-8-12-12-2-12-14-14-14-14-12-12-12-14-14-14-1
10,1,2,0-0-1-1-1-1-1-1-1-1-1-1-12-12-12-12-12-12-12-12-12-12-12-12-12-12-12
10,1,2,0-1-2-2-2-2-2-2-2-2-2-2-0-13-1-11-14-14-14-14-14-14-14-14-14-14-14
10,1,2,0-0-2-3-4-5-6-7-8-9-10-11-12-12-1-15-15-15-15-15-15-15-15-15-15-15-15
10,1,2,0-0-2-2-2-0-0-0-0-0-0-0-2-1-0-2-0-0-0-0-0-0-0-0-0-0-1
10,1,2,0-0-2-3-4-4-4-4-4-4-4-4-12-1-12-15-14-14-14-14-14-14-14-14-14-14-1
10,1,2,0-0-1-1-1-1-1-1-1-1-1-1-12-13-0-15-13-13-13-13-13-13-13-13-13-13-13
10,1,2,0-0-2-2-2-2-2-2-2-2-2-2-12-0-14-2-13-13-2-2-2-2-2-2-2-2-1
10,1,2,0-1-2-2-2-2-6-7-7-7-7-11-12-11-0-11-13-13-13-13-13-13-13-13-13-13-11
10,1,2,0-1-2-1-1-1-1-1-1-1-1-1-12-12-1-12-12-12-12-12-12-12-12-12-12-12-13
10,1,3,0-0-1-1-1-1-1-1-1-1-1-1-12-12-1-2-13-13-13-13-13-13-13-13-13-13-13
10,1,3,0-0-2-2-2-2-2-2-2-2-2-2-2-12-13-2-1-1-1-1-1-1-1-1-1-1-1
10,1,3,0-1-2-3-4-5-6-7-8-9-10-10-12-1-1-15-12-12-12-12-12-12-12-12-12-12-15
10,1,3,0-1-2-2-2-2-2-2-2-2-2-2-0-0-3-3-2-2-2-2-2-2-2-2-2-2-1
10,1,3,0-0-0-0-0-0-0-0-0-0-0-0-1-1-1-2-1-0-0-0-0-0-0-0-0-0-1
10,1,3,0-0-2-3-4-5-6-7-8-9-10-10-1-1-14-2-12-12-12-13-13-12-12-12-12-13-14
10,1,3,0-0-2-2-2-2-2-2-2-2-2-2-12-13-13-2-1-1-1-13-13-0-1-1-1-13-1
10,1,3,0-1-2-1-1-1-1-1-1-1-1-1-7-2-1-2-1-1-1-1-1-1-1-1-1-1-1
10,1,3,0-0-2-2-2-2-2-2-2-2-2-2-7-6-14-15-12-13-13-1-1-13-13-13-13-1-1
10,1,3,0-0-2-3-4-5-6-7-8-9-10-11-7-7-0-15-15-15-15-15-15-15-15-15-15-15-15
10,1,3,0-1-1-1-1-1-1-1-1-1-1-1-12-13-1-12-12-12-12-12-12-12-12-12-12-12-12
10,1,3,0-1-2-2-2-1-1-1-1-1-0-0-5-5-12-2-1-1-1-1-1-1-1-1-1-1-1
10,1,4,0-0-2-3-3-3-3-3-8-8-8-8-2-12-14-2-16-16-16-16-16-16-16-16-16-16-2
10,1,4,0-0-2-2-0-0-0-0-0-0-0-0-12-2-2-2-13-13-13-13-13-13-13-13-13-13-13
10,1,4,0-0-2-3-3-3-3-3-3-3-3-3-11-1-1-13-12-12-12-12-12-12-12-12-12-12-12
10,1,4,0-0-2-3-4-5-6-7-8-9-10-11-5-4-1-11-15-15-15-15-15-15-15-15-15-24-24
10,1,4,0-0-2-3-4-5-6-7-7-7-7-11-10-10-8-11-11-11-11-11-11-11-11-11-11-0-4
10,1,4,0-1-2-3-4-4-4-4-4-4-4-4-0-2-1-10-4-4-4-4-4-16-16-4-4-4-1
10,1,4,0-1-2-2-2-2-2-2-2-2-2-2-12-9-4-2-12-12-12-12-12-12-12-12-12-12-1
10,1,4,0-1-2-2-2-2-2-2-2-2-2-2-0-0-0-2-1-1-1-1-1-1-1-1-1-1-1
10,1,4,0-0-2-2-2-2-2-0-0-0-0-0-1-13-1-13-1-1-1-1-1-1-1-1-1-1-1
10,1,4,0-1-2-3-4-4-4-4-4-4-4-4-11-1-1-4-1-1-1-1-1-1-1-1-1-1-1
10,1,4,0-0-2-2-2-2-2-2-2-2-2-2-0-13-13-2-2-2-2-13-13-13-2-2-2-13-1
10,1,4,0-1-2-3-3-3-3-3-3-3-3-3-9-13-14-15-3-3-3-3-3-3-3-3-3-3-3
10,1,5,0-0-2-3-4-5-6-7-8-9-10-11-0-0-13-15-16-17-18-18-18-21-21-23-24-24-24
10,1,5,0-1-2-2-2-2-2-2-2-2-2-2-12-13-14-14-14-14-14-14-14-13-13-13-13-0-0
10,1,5,0-0-2-3-4-5-6-7-8-8-10-11-0-0-0-11-15-15-15-15-15-15-15-15-15-15-15
10,1,5,0-0-2-2-2-2-2-2-2-2-2-2-1-13-1-1-1-1-1-12-12-1-1-1-1-1-13
10,1,5,0-1-2-2-2-5-6-7-8-9-10-10-0-13-13-0-2-2-15-15-15-15-15-15-15-15-0
10,1,5,0-0-2-3-4-4-4-7-8-9-10-10-0-12-12-12-9-15-9-9-9-9-15-15-15-9-15
